,totKgSupply,totKgDemand,x,y
74,160827397.80475795,314341991.9199549,117034.63572184974,495256.8300490249
75,42323168.717405304,85446068.22189997,119034.63572184974,495256.8300490249
76,58752522.36794705,421161639.7038133,117034.63572184974,493256.8300490249
77,32086381.371002026,269626026.5465469,119034.63572184974,493256.8300490249
78,13908621.207029797,15555940.000383614,121034.63572184974,493256.8300490249
79,47757569.57127971,61802852.4262461,121034.63572184974,495256.8300490249
80,5369300.21538633,1951797489.188671,119034.63572184974,491256.8300490249
81,41254409.93218139,987100683.1575516,121034.63572184974,491256.8300490249
82,791159551.2365947,2285825465.088534,117034.63572184974,489256.8300490249
83,394557589.91185886,1339025098.693103,119034.63572184974,489256.8300490249
84,226571.65737894078,1460411321.2365525,117034.63572184974,491256.8300490249
85,27430619.209433496,730684345.2000915,115034.63572184974,493256.8300490249
86,84974139.64603105,140661542.42482468,123034.63572184974,493256.8300490249
87,575349382.0519679,1542107561.9159505,121034.63572184974,489256.8300490249
88,321782075.7921134,942760630.4080702,117034.63572184974,487256.8300490249
89,848542980.8104765,1898995269.6404326,119034.63572184974,487256.8300490249
90,303587.20195245027,460817105.031136,115034.63572184974,491256.8300490249
91,100941151.82448399,971657055.4938644,115034.63572184974,489256.8300490249
92,102258152.84224515,238286741.79450968,115034.63572184974,495256.8300490249
93,196765822.74871927,405441306.5050423,115034.63572184974,497256.8300490249
94,162144160.0624234,359039823.9420669,115034.63572184974,499256.8300490249
95,0.0,0.0,111034.63572184974,493256.8300490249
96,0.0,0.0,109034.63572184974,493256.8300490249
97,0.0,0.0,113034.63572184974,493256.8300490249
98,0.0,0.0,111034.63572184974,495256.8300490249
99,0.0,0.0,109034.63572184974,495256.8300490249
100,0.0,0.0,113034.63572184974,495256.8300490249
101,50267545.2186264,94759295.62402557,113034.63572184974,497256.8300490249
102,14175982.038610037,70696281.64060582,113034.63572184974,499256.8300490249
103,6459588.482796529,19977090.264733344,117034.63572184974,501256.8300490249
104,110751362.91382018,343876319.4894457,115034.63572184974,501256.8300490249
105,3546094.9186724713,5024464.917931029,111034.63572184974,497256.8300490249
106,16208615.62428891,70114761.91867958,111034.63572184974,499256.8300490249
107,168360344.59466472,549906553.8263526,113034.63572184974,501256.8300490249
108,6952767.3389999755,42075874.54891165,113034.63572184974,503256.8300490249
109,0.0,0.0,113034.63572184974,505256.8300490249
110,7058422.079879375,37874587.63353563,115034.63572184974,503256.8300490249
111,0.0,0.0,115034.63572184974,505256.8300490249
112,0.0,0.0,113034.63572184974,507256.8300490249
113,5312806.899767758,7091716.078389045,115034.63572184974,507256.8300490249
114,23948678.195397113,98654816.02275908,111034.63572184974,501256.8300490249
115,46719722.95588142,53594104.03573939,109034.63572184974,501256.8300490249
116,0.0,0.0,111034.63572184974,503256.8300490249
117,85337247.35341994,173923072.6904571,109034.63572184974,503256.8300490249
118,92792976.69938715,144034864.52049613,109034.63572184974,505256.8300490249
119,0.0,0.0,111034.63572184974,505256.8300490249
120,0.0,0.0,109034.63572184974,507256.8300490249
121,16733614.485856973,22813813.68910037,111034.63572184974,507256.8300490249
122,106428086.20615053,160659803.669886,107034.63572184974,503256.8300490249
123,10846625.078951158,10192334.756231867,107034.63572184974,505256.8300490249
124,576297.682959426,6123707.691171972,109034.63572184974,509256.8300490249
125,32400130.37336276,45544776.55555253,111034.63572184974,509256.8300490249
